Compiler,ImportFunctions
Emscripten,./index.js.__wbg_random_4eec15c1337c828c
Emscripten,./js_framework_benchmark_simi.__widl_f_add_event_listener_with_callback_EventTarget
Emscripten,env.__cargo_web_snippet_c26ddf75f581148e029dfcd95c037bb50d502e43
Emscripten,./index.js.__wbindgen_closure_wrapper60
Emscripten,./index.js.__widl_f_parent_element_Node
Emscripten,./rust_webpack.__widl_f_child_nodes_Node
Emscripten,wbg.__widl_f_fill_CanvasRenderingContext2D
Emscripten,wbg.__wbindgen_is_string
Emscripten,./js_framework_benchmark_simi.__wbindgen_is_null
Emscripten,./rust_webpack.__wbg_length_f74e28a8e08f33fb
Emscripten,wbg.__widl_f_fetch_with_request_Window
Emscripten,env.__cargo_web_snippet_ab05f53189dacccf2d365ad26daa407d4f7abea9
Emscripten,./rust_webpack.__wbindgen_debug_string
Emscripten,wbg.__wbg_new_f802c5ff9d449d95
Emscripten,wasi_unstable.path_unlink_file
Emscripten,wbg.__wbindgen_memory
Emscripten,wbg.__widl_f_fill_text_CanvasRenderingContext2D
Emscripten,wbg.__widl_f_origin_Location
Emscripten,./rust_webpack.__wbindgen_throw
Emscripten,./js_framework_benchmark_simi.__wbg_call_173f04c850a68d5f
