Compiler,ImportFunctions
Binaryen,wasi_unstable.clock_time_get
Binaryen,./rust_webpack.__widl_f_revoke_object_url_URL
Binaryen,wbg.__wbindgen_object_clone_ref
Binaryen,./index.js.__wbg_setattribute_38575b25fc9198f7
Binaryen,wbg.__widl_f_new_TextEncoder
Binaryen,./rust_webpack.__wbindgen_cb_forget
Binaryen,./rust_webpack.__wbg_then_02bd2de012e8afa8
Binaryen,./rust_webpack.__widl_f_create_element_Document
Binaryen,./https_everywhere_lib_wasm.__wbg_valueOf_c4ec2eaaa602f4f8
Binaryen,./https_everywhere_lib_wasm.__wbg_isArray_1ac2d66dd819d58a
Binaryen,wbg.__wbg_call_d86117a976521458
Binaryen,wbg.__wbg_newnoargs_6ad69a50998c5acb
Binaryen,./index.js.__widl_f_remove_Element
Binaryen,./rust_webpack.__wbindgen_object_clone_ref
Binaryen,wbg.__widl_f_new_TextDecoder
Binaryen,./rust_webpack.__wbindgen_string_new
Binaryen,./https_everywhere_lib_wasm.__wbg_push_60b55c9bdc824202
Binaryen,./rust_webpack.__widl_f_new_FileReader
Binaryen,./rust_webpack.__wbg_now_4f258c4df6468ada
Binaryen,wbg.__wbg_toString_60641a3eea23c1a9
Binaryen,wbg.__wbindgen_closure_wrapper127
Binaryen,./rust_webpack.__wbindgen_boolean_get
Binaryen,wbg.__wbindgen_closure_wrapper132
Binaryen,./rust_webpack.__widl_f_set_item_Storage
Binaryen,wbg.__widl_f_decode_with_u8_array_TextDecoder
Binaryen,./js_framework_benchmark_simi.__widl_f_document_Window
Binaryen,env.__cargo_web_snippet_cb392b71162553130760deeb3964fa828c078f74
Binaryen,wbg.__wbg_newwithargs_10def9c4239ab893
Binaryen,./rust_webpack.__wbg_buffer_8a74a93c17ac10c7
Binaryen,./index.js.__widl_f_contains_DOMTokenList
Binaryen,wbg.__wbindgen_closure_wrapper1369
Binaryen,env.__cargo_web_snippet_c023351d5bff43ef3dd317b499821cd4e71492f0
Binaryen,./index.js.__widl_f_first_child_Node
Binaryen,env.__cargo_web_snippet_de2896a7ccf316486788a4d0bc433c25d2f1a12b
Binaryen,env.__cargo_web_snippet_dc2fd915bd92f9e9c6a3bd15174f1414eee3dbaf
Binaryen,env.svg_set_path
Binaryen,./rust_webpack.__widl_f_set_title_Document
Binaryen,env.__cargo_web_snippet_e741b9d9071097746386b2c2ec044a2bc73e688c
Binaryen,./rust_webpack.__widl_f_query_selector_all_Element
Binaryen,env.__cargo_web_snippet_b06dde4acf09433b5190a4b001259fe5d4abcbc2
Binaryen,./rust_webpack.__widl_f_create_text_node_Document
Binaryen,./rust_webpack.__wbindgen_closure_wrapper259
Binaryen,wbg.__wbg_log_c66c2c6b2597d505
Binaryen,env.sin
Binaryen,env.a
Binaryen,wasi_unstable.fd_prestat_get
Binaryen,./https_everywhere_lib_wasm.__wbindgen_object_drop_ref
Binaryen,./rust_webpack.__widl_f_request_animation_frame_Window
Binaryen,wbg.__wbg_set_2aae8dbe165bf1a3
Binaryen,wbg.__widl_f_append_child_Node
Binaryen,wbg.__widl_f_ellipse_CanvasRenderingContext2D
Binaryen,./rust_webpack.__widl_f_remove_event_listener_with_callback_EventTarget
Binaryen,./index.js.__widl_f_insert_before_Node
Binaryen,./rust_webpack.__wbg_require_0993fe224bf8e202
Binaryen,./rust_webpack.__wbg_new_a99726b0abef495b
Binaryen,./rust_webpack.__widl_f_append_child_Node
Binaryen,env.mapping_callback
Binaryen,ctx.clearRect
Binaryen,./index.js.__wbg_insertchildbefore_88866440aac35d8f
Binaryen,wbg.__widl_f_text_Response
Binaryen,wbg.__wbindgen_is_function
Binaryen,env.__cargo_web_snippet_c580ae485906e2c96cc6404b6b740d1cd93971ea
Binaryen,wbg.__widl_instanceof_HTMLCanvasElement
Binaryen,./js_framework_benchmark_simi.__widl_instanceof_Window
Binaryen,./index.js.__wbg_resolve_3e3c14963c939fcd
Binaryen,wbg.__widl_f_navigator_Window
Binaryen,env.__cargo_web_snippet_690311d2f9134ac0983620c38a9e6460d4165607
Binaryen,./js_framework_benchmark_simi.__wbindgen_cb_drop
Binaryen,./rust_webpack.__wbindgen_cb_drop
Binaryen,./js_framework_benchmark_simi.__widl_f_create_text_node_Document
Binaryen,./rust_webpack.__wbg_crypto_e95a6e54c5c2e37f
Binaryen,wbg.__widl_f_inner_html_Element
Binaryen,wbg.__wbindgen_is_null
Binaryen,./rust_webpack.__wbg_getRandomValues_02639197c8166a96
Binaryen,env.__cargo_web_snippet_6fcce0aae651e2d748e085ff1f800f87625ff8c8
Binaryen,./index.js.__wbg_addevent_c565d8397d798f9b
Binaryen,wbg.__wbindgen_object_drop_ref
Binaryen,./rust_webpack.__wbg_new_2e04ae3e39e1f9bf
Binaryen,./index.js.__widl_f_set_attribute_Element
Binaryen,./index.js.__wbg_getat_93cbb0856a23a2bc
Binaryen,./js_framework_benchmark_simi.__wbindgen_throw
Binaryen,./js_framework_benchmark_simi.__widl_f_error_1_
Binaryen,wbg.__wbg_globalThis_36c1f2e85948e420
Binaryen,./js_framework_benchmark_simi.__wbindgen_closure_wrapper402
Binaryen,env.__cargo_web_snippet_0aced9e2351ced72f1ff99645a129132b16c0d3c
Binaryen,./https_everywhere_lib_wasm.__wbg_new_d8ff5ee3f007cfae
Binaryen,./rust_webpack.__wbindgen_object_drop_ref
Binaryen,./index.js.__widl_f_id_Element
