Compiler,ImportFunctions
wasm-bindgen,./rust_webpack.__wbg_require_0993fe224bf8e202
wasm-bindgen,./rust_webpack.__wbg_new_a99726b0abef495b
wasm-bindgen,./rust_webpack.__widl_f_append_child_Node
wasm-bindgen,env.mapping_callback
wasm-bindgen,ctx.clearRect
wasm-bindgen,./index.js.__wbg_insertchildbefore_88866440aac35d8f
wasm-bindgen,wbg.__widl_f_text_Response
wasm-bindgen,wbg.__wbindgen_is_function
wasm-bindgen,env.__cargo_web_snippet_c580ae485906e2c96cc6404b6b740d1cd93971ea
wasm-bindgen,wbg.__widl_instanceof_HTMLCanvasElement
wasm-bindgen,./js_framework_benchmark_simi.__widl_instanceof_Window
wasm-bindgen,./index.js.__wbg_resolve_3e3c14963c939fcd
wasm-bindgen,wbg.__widl_f_navigator_Window
wasm-bindgen,env.__cargo_web_snippet_690311d2f9134ac0983620c38a9e6460d4165607
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_cb_drop
wasm-bindgen,./rust_webpack.__wbindgen_cb_drop
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_create_text_node_Document
wasm-bindgen,./rust_webpack.__wbg_crypto_e95a6e54c5c2e37f
wasm-bindgen,wbg.__widl_f_inner_html_Element
wasm-bindgen,wbg.__wbindgen_is_null
wasm-bindgen,./rust_webpack.__wbg_getRandomValues_02639197c8166a96
wasm-bindgen,env.__cargo_web_snippet_6fcce0aae651e2d748e085ff1f800f87625ff8c8
wasm-bindgen,./index.js.__wbg_addevent_c565d8397d798f9b
wasm-bindgen,wbg.__wbindgen_object_drop_ref
wasm-bindgen,./rust_webpack.__wbg_new_2e04ae3e39e1f9bf
wasm-bindgen,./index.js.__widl_f_set_attribute_Element
wasm-bindgen,./index.js.__wbg_getat_93cbb0856a23a2bc
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_throw
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_error_1_
wasm-bindgen,wbg.__wbg_globalThis_36c1f2e85948e420
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_closure_wrapper402
wasm-bindgen,env.__cargo_web_snippet_0aced9e2351ced72f1ff99645a129132b16c0d3c
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_new_d8ff5ee3f007cfae
wasm-bindgen,./rust_webpack.__wbindgen_object_drop_ref
wasm-bindgen,./index.js.__widl_f_id_Element
