"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
77,59442,83379,src/ecmascript_simd.js,SIMD.Int16x8.shiftRightLogicalByScalar,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
78,59442,83379,src/ecmascript_simd.js,SIMD.Int32x4.shiftRightLogicalByScalar,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
79,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_add,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
80,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_sub,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
81,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_mul,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
82,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_div,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
83,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_neg,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
84,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_extractLane,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
85,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_replaceLane,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
86,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_fromInt32x4Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
87,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_fromUint32x4Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
88,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_fromInt16x8Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
89,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_fromUint16x8Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
90,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_fromInt8x16Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
91,59442,83379,system/include/emscripten/vector.h,emscripten_float64x2_fromUint8x16Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
92,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_add,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
93,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_sub,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
94,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_mul,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
95,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_div,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
96,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_neg,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
97,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_lessThan,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
